OrderNo,PostalSector,CustomerType,CustomerId
20704,11,Corporate,682811506458
43812,66,Individual,848555583963
64739,82,Individual,923541622173
112026,50,Individual,983718925861
143022,73,Individual,815169729553
186512,54,Individual,413317951038
212514,24,Individual,875788480218
242387,65,Individual,574476878714
270650,24,Individual,724745833868
277802,51,Individual,586456563472
302614,73,Individual,359740283514
315200,76,Individual,299853832832
337630,14,Individual,532784952190
365565,73,Individual,633079601647
366644,58,Individual,500311859643
456570,65,Individual,992090242652
465640,65,Individual,434701685932
486244,27,Individual,162299115086
494762,15,Individual,88627224476
497670,16,Individual,943136081819
567592,22,Individual,565478029912
592357,27,Individual,607184318551
636214,90,Individual,869166217570
648822,64,Individual,744820161202
660977,73,Individual,668643983105
667608,52,Individual,13355571079
691629,49,Corporate,367041946086
692296,,Individual,314809079196
749471,23,Corporate,603361947342
752393,40,Individual,197255396327
769871,53,Individual,344647814685
790769,42,Individual,595366273289
854724,54,Individual,445669122586
911284,59,Individual,897218090891
918887,12,Individual,968396583186
953314,76,Individual,857077129954
987472,27,Individual,923189507164
1017179,53,Individual,847764363465
1076486,58,Individual,362384948623
1081662,67,Individual,497825236759
1091472,52,Individual,803481367901
1094843,73,Individual,827870527979
1127921,54,Corporate,959604103721
1181382,40,Corporate,279165355939
1201802,54,Individual,214441446094
1206314,41,Corporate,196753748709
1207010,54,Individual,34216694682
1207070,82,Individual,752373580650
1211119,,Individual,19093320601
1238598,25,Individual,228644891118
1241060,68,Individual,932721026768
1310970,52,Individual,230998736854
1344547,76,Individual,279805612436
1362781,54,Individual,696111484227
1375914,32,Individual,712093549390
1444595,59,Individual,650058100738
1449366,53,Corporate,480826432364
1472045,15,Individual,751133750613
1503295,64,Individual,768747057430
1517094,48,Individual,255594542008
1550260,76,Individual,588339236094
1552815,47,Individual,296941105731
1584072,54,Individual,593057067476
1616007,65,Individual,687692083051
1635755,56,Individual,311448419685
1674183,57,Individual,668095283079
1696259,43,Individual,159398533098
1711436,31,Individual,961404241057
1725774,76,Individual,578804348875
1788281,23,Individual,848600700281
1805580,67,Individual,724739660953
1817516,51,Individual,432683624086
1837425,65,Individual,253188165826
1857946,40,Individual,519717331834
1878804,56,Corporate,540398596327
1927960,64,Individual,555855195427
1934557,15,Individual,57476893712
1940170,38,Corporate,954496540237
1993367,56,Individual,976683861878
2027926,15,Individual,592616718996
2037755,57,Individual,433846608261
2052022,65,Individual,830254979749
2068890,67,Individual,123684865017
2118247,75,Individual,834126250216
2133790,52,Individual,109303099240
2166007,51,Individual,709806816740
2225029,73,Individual,364123159403
2273612,57,Individual,981777590204
2286985,82,Individual,619363090583
2316825,13,Corporate,987553997723
2343624,11,Individual,472134133969
2390195,58,Individual,696464234446
2392389,52,Individual,89613875777
2485065,15,Individual,172497929758
2491526,46,Individual,55263027332
2492328,16,Individual,235099365803
2519026,44,Individual,647584994554
2541664,52,Individual,320024324063
2559873,59,Individual,622870149936
2569507,20,Corporate,698353634380
2586293,46,Individual,519148129661
2595045,28,Individual,442934946722
2684557,45,Individual,236441664481
2780893,64,Individual,271941062376
2790699,59,Individual,973537645891
2824114,56,Individual,775457916765
2832208,57,Individual,523839931001
2867043,12,Individual,592131728042
2896268,45,Individual,944039469134
2970524,54,Individual,517201090171
3008953,13,Individual,986319423053
3019735,41,Individual,67928437598
3027350,60,Individual,995799364655
3050194,53,Individual,29314177042
3108373,73,Individual,372109286325
3193358,42,Individual,959063841797
3224628,46,Individual,941332866101
3227670,24,Corporate,858362877837
3257528,25,Individual,232633091096
3296644,18,Corporate,190185024664
3299687,10,Individual,683456227887
3314451,55,Individual,507314319035
3330948,12,Individual,293207569299
3352982,55,Individual,73876326462
3371943,19,Individual,505848164187
3381453,79,Individual,727473086801
3402113,,Individual,252326436003
3421513,79,Individual,317254149771
3439256,73,Individual,716440967092
3464696,36,Individual,660105384664
3485481,76,Individual,374289473558
3518744,54,Individual,799516664619
3523530,59,Individual,2677400165
3580698,43,Individual,227788784544
3619127,57,Individual,104176349977
3661066,56,Individual,933404099090
3691260,31,Individual,108966977312
3697631,25,Individual,520326968376
3751504,65,Corporate,993072157925
3756359,31,Individual,344041890911
3842494,48,Corporate,917219527725
3877791,52,Individual,706620534092
3879278,32,Individual,3390470600
3987756,85,Individual,89262280299
4087911,43,Individual,678609513481
4117541,18,Individual,176324063742
4120248,65,Individual,396669134359
4128383,67,Individual,313106144109
4132317,53,Individual,509132060973
4135067,52,Individual,546319611645
4158547,65,Individual,274649799974
4231187,12,Corporate,739365148513
4240696,16,Individual,860304087887
4301183,,Individual,799336323253
4369638,51,Individual,216618557416
4396802,46,Individual,820621447670
4424835,26,Individual,791163466905
4427350,52,Individual,76377166042
4437958,16,Individual,716637265229
4438946,54,Individual,235015311457
4447568,64,Individual,635053795465
4530988,53,Individual,678388872890
4545881,65,Individual,950650161244
4569466,78,Corporate,375262940316
4578699,73,Individual,443441499679
4592362,60,Individual,34309639526
4599055,48,Corporate,167560452025
4672797,68,Individual,650484429820
4709368,,Individual,53440371352
4716157,82,Individual,798897349624
4720122,52,Individual,535156976101
4727781,61,Individual,241233273095
4805630,56,Individual,758145997861
4827913,59,Individual,371152964181
4828467,12,Individual,842386532563
4829904,52,Individual,308479363452
4954900,42,Individual,973253156013
4961988,52,Individual,641040664141
4977959,67,Individual,777424276409
5031747,64,Individual,790859171382
5038653,40,Corporate,947317086006
5124782,56,Individual,161742031759
5142177,33,Individual,161817411756
5158427,64,Individual,226061482436
5161404,60,Individual,819200111076
5163464,53,Individual,597424722374
5178773,25,Individual,487420478829
5180726,52,Individual,627782955059
5224346,65,Individual,951148211656
5258484,59,Individual,697046359321
5268587,65,Individual,218809721639
5278017,51,Individual,843510185417
5281520,62,Corporate,162838354677
5295165,11,Individual,359993500522
5347515,72,Individual,787870985820
5366571,79,Individual,211596907038
5434663,12,Individual,80311733247
5435763,52,Individual,524963395404
5538062,53,Individual,967382823471
5593638,22,Individual,268125607320
5598620,75,Individual,797442873315
5657259,12,Individual,740341962679
5659000,46,Individual,102059399459
5661869,22,Individual,155401802792
5715593,12,Individual,407514481100
5757997,,Individual,615207845895
5758485,73,Individual,825469556113
5772335,53,Individual,885289034493
5777067,56,Individual,686909587020
5851236,64,Individual,98031434612
5898850,54,Individual,901952681465
5918654,68,Individual,190197469504
5946280,82,Individual,586249115221
5974046,57,Individual,840617516746
6008174,76,Individual,531236710857
6028167,79,Individual,365652198036
6095185,12,Corporate,375262940316
6103646,52,Individual,230998736854
6146830,50,Individual,524025940566
6216546,80,Individual,985136684286
6233604,16,Individual,112287964770
6294920,60,Individual,958580872608
6365098,52,Individual,415148886853
6385176,38,Individual,111398289398
6388226,32,Individual,275379247871
6418732,21,Individual,571640269381
6467503,66,Individual,202111323508
6468241,53,Individual,14139293383
6490517,64,Individual,80784980744
6493058,51,Individual,342795972214
6519451,64,Individual,962777160997
6544813,14,Individual,929506858458
6563647,60,Individual,337216911177
6566546,22,Individual,854481749570
6587299,57,Individual,304758166773
6599585,61,Individual,404380924265
6622807,54,Individual,3178608075
6632253,32,Individual,5136008586
6662294,73,Individual,472343871752
6703558,62,Corporate,507887126779
6725161,12,Individual,231477633618
6728364,53,Individual,509132060973
6739005,,Individual,405201192196
6796612,75,Individual,104605415128
6831595,19,Individual,794004870936
6842539,73,Individual,144263910321
6843136,76,Individual,929798482125
6867065,51,Individual,80048017463
6872845,40,Individual,655368155520
6872940,22,Individual,330693787218
6877406,79,Individual,133428779309
6889782,68,Individual,728096762536
6959839,54,Individual,697092778040
6962962,38,Individual,957275384855
6992871,73,Individual,465995911341
6993348,41,Individual,717543538006
7154679,65,Individual,659858185898
7167854,56,Individual,518622232432
7196934,31,Individual,164406616187
7243456,75,Individual,773125267502
7266818,60,Individual,847267125715
7375954,65,Individual,599966262708
7397293,57,Individual,114073597627
7517643,15,Individual,405395179046
7518466,73,Individual,102971151800
7520677,42,Individual,531680080205
7543515,57,Individual,319844421798
7576094,56,Individual,573671713651
7586311,28,Individual,99416859374
7604786,25,Individual,887600488739
7642747,68,Individual,309278223684
7648972,82,Individual,473909359300
7698538,73,Individual,286252550685
7801638,56,Individual,517517139667
7817242,56,Individual,600369803992
7848641,53,Individual,441845174033
7851393,65,Individual,769486122398
7874826,43,Corporate,276409472128
7893266,68,Individual,187887770334
7927782,16,Individual,242106121004
7971965,21,Individual,311305711462
8031737,54,Individual,872487752241
8076840,12,Individual,546310749681
8078668,12,Individual,928429906330
8091195,12,Individual,611558653787
8091555,65,Individual,767216482906
8104922,67,Individual,15463338873
8109191,39,Individual,945493046359
8155499,55,Individual,421012031955
8158197,13,Corporate,216372278895
8209376,51,Individual,671390127144
8215463,38,Corporate,678455615106
8247372,75,Individual,744696858578
8279491,51,Individual,885872117474
8378832,13,Individual,626877883649
8407175,54,Individual,606217247008
8417588,43,Individual,528558472878
8427731,75,Individual,241144250191
8540269,58,Individual,838334125521
8572838,76,Individual,737424461456
8613776,46,Individual,420495357690
8628794,64,Individual,671215859551
8636632,27,Individual,819870379423
8651751,31,Individual,380440453463
8654928,54,Individual,718962034382
8673717,59,Individual,464052813082
8716073,50,Individual,795267736959
8743818,75,Individual,632600479615
8891983,59,Individual,613455720817
8907925,68,Individual,303962660533
8974397,67,Individual,408848696761
8996427,26,Individual,280149312054
8998471,40,Individual,292788156178
9031564,41,Individual,636060169416
9134720,54,Individual,951845059166
9181755,58,Individual,196446576690
9181780,46,Individual,717953385723
9200094,73,Individual,906364124456
9257836,48,Corporate,580468147265
9270239,55,Individual,918070073625
9278155,22,Individual,450308581368
9278524,75,Individual,409067573895
9288217,,Individual,176767227346
9306804,64,Individual,854539586774
9314387,73,Individual,95410601416
9316391,68,Individual,775533689699
9321687,27,Individual,106133853770
9421931,33,Individual,32310751963
9422779,46,Individual,445188677327
9447128,66,Individual,96303199621
9470561,,Individual,978375417556
9490939,51,Individual,671390127144
9553963,25,Individual,385035618144
9608421,,Individual,72923917108
9630526,18,Corporate,352818485297
9633667,68,Individual,71411048261
9653258,68,Individual,862662303590
9686837,78,Individual,616770971623
9692546,64,Individual,742427087922
9751257,24,Individual,66677557712
9841807,82,Individual,522624060296
9874589,53,Individual,897582782939
9901409,63,Corporate,523509065719
9935945,82,Individual,891758227827
10041937,57,Individual,90386924620
10100642,54,Individual,166555751499
10106419,41,Individual,429764864121
10129241,30,Individual,631035842453
10162396,82,Individual,263427918387
10189791,38,Individual,422592360668
10192378,50,Individual,559396505766
10202576,38,Individual,186661517525
10309501,56,Individual,241274726705
10356779,76,Individual,869495329170
10374981,59,Individual,441513074529
10409813,54,Individual,783653081497
10482840,56,Individual,415516187138
10484645,52,Individual,822073540131
10500135,16,Corporate,677911895099
10633305,47,Individual,447804634796
10633426,25,Individual,963031726969
10660881,67,Individual,783031595666
10680227,53,Individual,487158536612
10695087,60,Individual,332855688431
10706866,16,Individual,133947949006
10760174,57,Individual,600621002579
10780259,54,Individual,898544235085
10787290,68,Individual,148991612146
10788227,67,Individual,907519433014
10800632,76,Individual,308148700845
10815533,44,Individual,311099972785
10844721,48,Individual,764584183749
10863783,82,Individual,319403748841
10916414,67,Individual,545852295368
10932511,42,Individual,538942417707
10971284,32,Individual,718804598596
10976074,68,Individual,819786776006
10998917,53,Individual,601163891897
11020510,64,Individual,336037976888
11032277,55,Individual,204511051563
11076908,52,Individual,644582373284
11099597,18,Individual,87889376669
11105706,54,Individual,982947485054
11128823,16,Individual,500062084504
11154221,53,Individual,221872691628
11188657,59,Individual,998358889802
11193146,57,Individual,824666747692
11221643,75,Individual,451968147391
11248077,67,Individual,548429374796
11296850,53,Individual,466633244147
11333858,76,Individual,578804348875
11338525,52,Individual,156693237623
11351143,11,Corporate,670912079459
11375948,56,Individual,829179383445
11404404,76,Individual,663046334231
11444682,24,Individual,381497882071
11445763,51,Individual,314189701547
11473781,43,Individual,555219376576
11548795,54,Individual,585073990005
11556267,23,Corporate,498136648991
11654742,54,Individual,348436260640
11675126,73,Individual,122234394724
11682581,28,Individual,356851996466
11699015,55,Individual,603043401352
11767533,59,Individual,99150559228
11807497,33,Individual,570630292997
11810132,61,Individual,849645083742
11868558,28,Individual,89846988989
11873953,53,Individual,423601022658
11988829,64,Individual,284752602853
11988918,68,Individual,740448394591
12019480,29,Individual,300580250111
12048678,25,Individual,550540888250
12064304,51,Corporate,375262940316
12085970,38,Individual,234882111887
12161784,68,Individual,991335773573
12200562,62,Corporate,714877240701
12205424,22,Corporate,741898097636
12257816,50,Individual,198760068243
12299365,57,Individual,451074574399
12419452,52,Individual,327087801104
12421191,64,Individual,839979145709
12451042,40,Individual,667666339843
12462115,57,Individual,64739896490
12462536,76,Individual,344596791053
12464144,,Individual,966716042565
12467082,54,Individual,56702543446
12478135,50,Individual,431516054525
12526033,68,Individual,11633153705
12541733,68,Individual,713634071328
12545688,73,Individual,294498115474
12571832,46,Individual,101780992950
12586466,54,Individual,927036409153
12645981,64,Individual,759065165301
12654860,54,Individual,727501330641
12657944,76,Individual,712068351348
12708945,57,Corporate,468834215659
12728506,58,Individual,146646892621
12745999,63,Corporate,922957042507
12868501,12,Individual,190256926408
12871511,54,Individual,155535330690
12878968,18,Individual,329283295478
12907791,68,Corporate,606441007068
12918356,52,Individual,118246082742
12931084,54,Individual,500725892476
12942732,98,Individual,694556990047
12951508,63,Corporate,36471850149
12959219,,Individual,875658207854
12975807,25,Individual,107313249975
12989935,18,Corporate,74851219961
12999724,62,Individual,43793942713
13002060,,Individual,489864996434
13046246,27,Individual,185459477318
13084329,,Individual,136424471655
13084629,21,Individual,966257684706
13085523,38,Individual,903450945154
13132180,75,Individual,993991366860
13233701,59,Individual,271102637527
13251439,64,Individual,678985319470
13253063,75,Individual,119268073389
13257206,,Individual,763797295768
13279667,15,Individual,108835357487
13287569,33,Individual,636686850491
13320232,89,Corporate,155075315584
13446138,38,Individual,279961314517
13448917,54,Individual,749625503546
13456024,64,Individual,629333721035
13579739,65,Individual,757497858921
13584144,51,Individual,601844999311
13605065,52,Individual,88001679544
13612975,,Individual,802446642582
13658802,24,Corporate,100157651612
13681609,54,Individual,691544060705
13694381,40,Corporate,132828744484
13700116,40,Individual,277186127732
13726913,82,Individual,327646791713
13750479,57,Individual,694014976720
13760271,39,Corporate,333018390168
13761669,52,Individual,61969108429
13771677,55,Individual,355142048006
13783788,52,Individual,772642760111
13785223,30,Individual,776191861371
13796525,13,Corporate,14292178280
13831560,,Individual,669558372740
13849261,51,Individual,366989008181
13928728,64,Individual,427525398268
13940357,53,Individual,782441442747
13956629,25,Individual,883883231293
13965442,99,Individual,440297169295
13989391,52,Individual,269310769592
14012414,12,Individual,768169453046
14023268,48,Individual,553580372629
14120160,53,Individual,596104164075
14142415,54,Individual,390051944942
14151759,23,Individual,194724995323
14152368,38,Individual,107857568688
14169810,18,Corporate,465360000071
14200052,60,Individual,790497616051
14226655,56,Individual,151215156404
14256215,56,Individual,212499681398
14275936,58,Individual,954206922699
14325242,45,Individual,380901137074
14343398,18,Individual,82820261944
14416366,63,Individual,827546335730
14417237,76,Individual,880566439986
14423928,75,Individual,832491715558
14425633,29,Individual,53027983170
14435888,62,Individual,937498461840
14460536,31,Individual,747675645408
14514533,46,Individual,159047656314
14520697,18,Individual,678311207421
14570933,68,Individual,470940564338
14584657,47,Individual,819455333317
14592784,82,Individual,674182355976
14595646,62,Individual,890439306629
14656573,31,Individual,186752881041
