OrderNo, TotalOrderDiscount ,OrderTime,DeliveryTimeslot,OrderDate,DeliveryDate
933876488,-32.39,10.29 PM,Between 6:00 pm and 10:00 pm,6/19/2015,6/22/2015
84466416,-16.04,12.16 PM,Between 10:00 am and 2:00 pm,5/22/2015,5/29/2015
901463041,-7.49,8.35 PM,Between 6:00 pm and 10:00 pm,6/17/2015,6/19/2015
792529912,-40.39,5.27 PM,Between 10:00 am and 2:00 pm,5/27/2015,5/30/2015
275186386,-3.21,3.01 PM,Between 6:00 pm and 5:59 pm (next day),5/26/2015,5/28/2015
113925796,-24.29,11.05 PM,Between 10:00 am and 2:00 pm,5/3/2015,5/6/2015
380935660,-0.63,5.46 PM,Between 2:00 pm and 6:00 pm,5/15/2015,5/16/2015
145555502,-17.7,1.45 PM,Between 10:00 am and 2:00 pm,5/14/2015,5/16/2015
138870947,-20.44,9.57 PM,Between 6:00 pm and 10:00 pm,4/29/2015,5/1/2015
786664499,-25.72,1.2 PM,Between 6:00 pm and 10:00 pm,5/20/2015,5/23/2015
703361403,-8.39,8.16 PM,Between 10:00 am and 2:00 pm,6/24/2015,6/26/2015
812812133,-10.25,11.14 AM,Between 10:00 am and 2:00 pm,4/7/2015,4/9/2015
773565011,-9.55,12.45 PM,Between 10:00 am and 2:00 pm,6/2/2015,6/4/2015
85215990,-24.99,10.5 PM,Between 10:00 am and 2:00 pm,5/20/2015,5/23/2015
366371050,-3.75,9.42 PM,Between 10:00 am and 2:00 pm,4/11/2015,4/18/2015
141863769,-7.49,11.12 AM,Between 2:00 pm and 6:00 pm,6/3/2015,6/9/2015
522042408,-30.24,3.49 PM,Between 6:00 pm and 10:00 pm,5/7/2015,5/11/2015
900337749,-7.49,10.04 PM,Between 2:00 pm and 6:00 pm,6/10/2015,6/15/2015
511680286,-5.1,9.56 PM,Between 10:00 am and 2:00 pm,6/10/2015,6/12/2015
626444487,-1.75,10.1 PM,Between 10:00 am and 2:00 pm,5/3/2015,5/6/2015
826231398,-7.49,7.23 PM,Between 10:00 am and 2:00 pm,6/1/2015,6/4/2015
796063442,-2.3,12.08 PM,Between 2:00 pm and 6:00 pm,5/13/2015,5/14/2015
780719793,-7.94,10.43 PM,Between 10:00 am and 2:00 pm,5/24/2015,5/26/2015
518182086,-7.49,1.07 PM,Between 10:00 am and 2:00 pm,6/2/2015,6/4/2015
738780672,-7.49,7.05 AM,Between 2:00 pm and 6:00 pm,6/26/2015,7/1/2015
392162727,-6.04,5.58 PM,Between 2:00 pm and 6:00 pm,6/30/2015,7/6/2015
167236561,    ,9.09 PM,Between 2:00 pm and 6:00 pm,6/30/2015,7/2/2015
120095392,-8.54,6.31 PM,Between 2:00 pm and 6:00 pm,5/8/2015,5/13/2015
259248650,-7.49,6.49 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/4/2015
630544620,-21.74,11.32 AM,Between 2:00 pm and 6:00 pm,6/4/2015,6/8/2015
703864097,-18.39,8.58 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/3/2015
603213922,-18.44,9.5 PM,Between 10:00 am and 2:00 pm,6/30/2015,7/5/2015
612951718,-16.89,12.03 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/28/2015
267534810,-0.75,7.52 PM,Between 6:00 pm and 10:00 pm,5/5/2015,5/6/2015
173609228,-13,1.45 AM,Between 10:00 am and 2:00 pm,5/22/2015,5/23/2015
330310418,-7.8,10.54 PM,Between 10:00 am and 2:00 pm,5/24/2015,5/26/2015
559286374,-5.2,9.29 PM,Between 10:00 am and 2:00 pm,6/13/2015,6/17/2015
643433375,-13.29,4.1 PM,Between 6:00 pm and 10:00 pm,6/13/2015,6/16/2015
564300894,    ,6.27 PM,Between 10:00 am and 2:00 pm,6/22/2015,6/25/2015
819568403,-7.49,11.01 AM,Between 10:00 am and 2:00 pm,6/15/2015,6/17/2015
